device	etype	ch	idx	topic	mode	group	label	page	led_target	enabled	notes
vcm600	note	2	68	vcm600/channel/2/stop		channel_buttons	Channel 2 Stop	channel_switch	vcm600/channel/2/stop	1	Manual corrected by live test: status 91 idx 45
vcm600	note	2	69	vcm600/channel/2/play		channel_buttons	Channel 2 Play	channel_switch	vcm600/channel/2/play	1	Manual corrected by live test: status 91 idx 46
vcm600	cc	2	16	vcm600/channel/2/eq_hi	abs	channel_controls	Channel 2 EQ Hi	channel_volume		1	Live corrected eq_hi for channel 2: idx 17
vcm600	cc	2	17	vcm600/channel/2/eq_mid	abs	channel_controls	Channel 2 EQ Mid	channel_volume		1	Live corrected eq_mid for channel 2: idx 18
vcm600	cc	2	18	vcm600/channel/2/eq_low	abs	channel_controls	Channel 2 EQ Low	channel_volume		1	Live corrected eq_low for channel 2: idx 19
vcm600	cc	2	10	vcm600/channel/2/pan	abs	channel_controls	Channel 2 Pan	channel_volume		1	Live corrected pan for channel 2: idx 11
vcm600	cc	2	19	vcm600/channel/2/send_a	abs	channel_controls	Channel 2 Send A	channel_volume		1	Live corrected send_a for channel 2: idx 20
vcm600	cc	2	20	vcm600/channel/2/send_b	abs	channel_controls	Channel 2 Send B	channel_volume		1	Live corrected send_b for channel 2: idx 21
vcm600	cc	2	21	vcm600/channel/2/resonance	abs	channel_controls	Channel 2 Resonance	channel_volume		1	Live corrected resonance for channel 2: idx 22
vcm600	cc	2	22	vcm600/channel/2/frequency	abs	channel_controls	Channel 2 Frequency	channel_volume		1	Live corrected frequency for channel 2: idx 23
vcm600	cc	2	23	vcm600/channel/2/level	abs	channel_controls	Channel 2 Level	channel_volume		1	Live corrected level index for channel 2: idx 24
